Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,301164,,,0
H4,2012,2012,2012,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,68791,,,0
H4,2012,2012,2012,2,0,1,Import,8,Albania,ALB,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,44181,,,0
H4,2012,2012,2012,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,55919953,,,0
H4,2012,2012,2012,2,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,1910666221,,,0
H4,2012,2012,2012,2,0,1,Import,20,Andorra,AND,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,134956,,,0
H4,2012,2012,2012,2,0,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,15304343,,,0
H4,2012,2012,2012,2,0,2,Export,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,1208409,,,0
H4,2012,2012,2012,2,0,1,Import,31,Azerbaijan,AZE,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,349190,,,0
H4,2012,2012,2012,2,0,2,Export,31,Azerbaijan,AZE,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,4721281,,,0
H4,2012,2012,2012,2,0,1,Import,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,50517453,,,0
H4,2012,2012,2012,2,0,2,Export,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,4258096,,,0
H4,2012,2012,2012,2,0,1,Import,32,Argentina,ARG,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,53739519,,,0
H4,2012,2012,2012,2,0,2,Export,32,Argentina,ARG,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,9294309,,,0
H4,2012,2012,2012,2,0,1,Import,36,Australia,AUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,8940413,,,0
H4,2012,2012,2012,2,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,198884589,,,0
H4,2012,2012,2012,2,0,1,Import,40,Austria,AUT,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,52685975,,,0
H4,2012,2012,2012,2,0,2,Export,40,Austria,AUT,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2436668,,,0
H4,2012,2012,2012,2,0,1,Import,40,Austria,AUT,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10769,,,0
H4,2012,2012,2012,2,0,2,Export,40,Austria,AUT,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,615536,,,0
H4,2012,2012,2012,2,0,2,Export,40,Austria,AUT,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10270,,,0
H4,2012,2012,2012,2,0,1,Import,50,Bangladesh,BGD,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,6750311,,,0
H4,2012,2012,2012,2,0,1,Import,56,Belgium,BEL,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,438,,,0
H4,2012,2012,2012,2,0,2,Export,56,Belgium,BEL,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,19103,,,0
H4,2012,2012,2012,2,0,1,Import,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,167865845,,,0
H4,2012,2012,2012,2,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3191553,,,4
H4,2012,2012,2012,2,0,1,Import,56,Belgium,BEL,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,212,,,0
H4,2012,2012,2012,2,0,2,Export,56,Belgium,BEL,204,Benin,BEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,49940734,,,0
H4,2012,2012,2012,2,0,1,Import,60,Bermuda,BMU,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,16373743,,,0
H4,2012,2012,2012,2,0,1,Import,70,Bosnia Herzegovina,BIH,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,2505060,,,0
H4,2012,2012,2012,2,0,2,Export,70,Bosnia Herzegovina,BIH,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,618275,,,0
H4,2012,2012,2012,2,0,1,Import,76,Brazil,BRA,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2738,,,0
H4,2012,2012,2012,2,0,1,Import,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,360691570,,,4
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,467553,,,0
H4,2012,2012,2012,2,0,2,Export,100,Bulgaria,BGR,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,62395,,,0
H4,2012,2012,2012,2,0,1,Import,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,12210468,,,0
H4,2012,2012,2012,2,0,2,Export,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,2549772,,,0
H4,2012,2012,2012,2,0,1,Import,100,Bulgaria,BGR,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,1451316,,,0
